Date,Employee_Name,Employee_ID,Department,Job_Title,Gender,Project,Years_At_Company,Performance_Score,Monthly_Salary	,Clocked_Hours,Productive_Hours,Tasks_Completed,Meetings	,Break_Hours,Training_Hours	,Overtime_Hours	,Remote_Work_Frequency,Employee_Satisfaction_Score,Resigned
9/26/2024,Theresita,168,Legal,Occupational Therapist,Female,Rank,7.0,4,1,1.8,7.2,0,0,0.9,7.7,2.2,4,4.4,yes
8/13/2024,Garner,689,Research and Development,Analog Circuit Design manager,Male,Alpha,20.8,5,1,6.9,4.3,7,5,0.8,4.1,0.1,1,1.8,yes
3/6/2025,Elden,11950,Business Development,Software Engineer IV,Genderfluid,Latlux,29.8,3,1,5.1,1.1,3,4,1.3,6.9,0.2,0,3.8,no
8/24/2024,Alice,8236,Engineering,Senior Sales Associate,Female,Ronstring,17.4,1,2,3.1,1.5,10,4,0.8,11.8,4.2,17,3.2,yes
12/15/2024,Anselm,310,Marketing,Compensation Analyst,Non-binary,Ronstring,20.2,5,4,1.7,2.5,5,4,1.6,13.2,1.3,14,2.2,no
3/19/2025,Zarah,2,Legal,Business Systems Development Analyst,Female,Zontrax,13.5,5,4,3.1,0.0,7,1,1.0,12.3,2.4,18,3.9,no
3/7/2025,Clayton,77,Training,Research Assistant III,Male,Bytecard,10.5,3,4,6.6,7.2,1,4,1.4,3.8,1.1,7,2.3,no
10/7/2024,Gael,3524,Product Management,Associate Professor,Female,Lotlux,27.5,1,3,6.8,1.7,6,4,1.0,12.1,4.2,13,1.0,no
6/11/2024,Beniamino,4,Product Management,Operator,Bigender,Holdlamis,17.5,3,2,0.9,5.8,3,0,1.9,9.0,3.8,14,1.3,no
12/3/2024,Goldy,72,Training,Programmer Analyst III,Female,Voltsillam,7.6,2,1,2.4,7.2,7,3,1.8,5.7,4.9,10,4.7,yes
6/7/2024,Jarred,36050,Product Management,Safety Technician IV,Male,Stringtough,18.4,4,3,7.0,4.7,6,4,2.0,11.1,2.6,0,2.3,no
9/15/2024,Dean,3146,Legal,Occupational Therapist,Polygender,Zaam-Dox,24.2,3,1,5.6,6.7,5,0,0.9,1.3,1.5,4,3.5,yes
2/12/2025,Holt,4932,Services,Accountant III,Male,Span,18.1,4,5,3.8,7.9,6,2,0.6,2.7,3.3,13,4.7,no
9/17/2024,Priscilla,89633,Marketing,Staff Accountant III,Female,Kanlam,11.9,1,2,1.8,5.4,9,4,1.4,5.7,0.6,4,2.0,no
9/16/2024,Sibelle,48048,Accounting,VP Quality Control,Female,Otcom,19.8,3,4,1.0,5.8,1,2,0.9,0.2,1.9,20,2.0,yes
5/6/2025,Barbi,8423,Business Development,VP Sales,Female,Viva,26.2,3,3,5.4,3.4,5,4,0.6,1.6,4.2,13,1.5,yes
11/13/2024,Alford,4908,Product Management,Research Associate,Male,Cardify,16.4,2,2,4.9,3.5,9,1,1.4,7.3,2.3,5,1.0,no
4/17/2025,Norton,16,Training,General Manager,Male,Cardguard,5.3,2,4,7.2,2.8,5,0,1.8,8.7,2.0,11,4.9,yes
9/20/2024,Andromache,1406,Services,Quality Engineer,Female,Zoolab,20.4,3,3,7.4,6.0,2,0,1.8,5.2,2.5,19,1.2,no
11/17/2024,Barnaby,57,Research and Development,Administrative Officer,Male,Bitchip,3.5,5,3,5.9,5.1,2,2,1.6,11.1,1.0,11,1.1,yes
8/14/2024,Koenraad,27911,Support,Recruiter,Male,Wrapsafe,11.3,3,3,4.0,5.8,7,5,1.5,7.0,4.1,8,4.7,no
7/17/2024,Teena,184,Accounting,Professor,Female,Daltfresh,19.5,4,5,4.4,2.7,0,5,1.4,1.8,2.6,16,4.5,no
11/9/2024,Saunder,81880,Legal,Software Consultant,Male,Quo Lux,24.2,3,3,4.8,4.8,5,2,1.0,13.8,4.7,18,4.7,yes
10/21/2024,Annabel,19,Support,Internal Auditor,Female,Bytecard,24.9,4,3,0.8,1.8,7,0,1.3,13.6,4.7,18,2.6,no
4/2/2025,Rory,5517,Research and Development,Account Representative III,Female,Asoka,16.9,4,3,7.8,0.7,1,1,1.1,12.8,2.7,11,4.4,no
4/6/2025,Imojean,9,Engineering,VP Marketing,Female,Tin,19.6,4,2,3.4,1.6,2,5,0.6,14.7,2.0,19,2.1,no
1/9/2025,Carolina,1035,Services,Product Engineer,Female,Zaam-Dox,1.0,5,4,7.4,1.2,4,5,1.2,14.1,1.8,16,4.2,no
11/5/2024,Libby,2,Business Development,Help Desk Operator,Female,Otcom,17.8,1,3,4.8,3.4,3,4,1.9,4.2,4.6,12,1.2,no
11/4/2024,Niki,785,Legal,General Manager,Genderqueer,Redhold,18.4,4,2,4.7,6.6,6,3,0.8,3.3,0.2,4,1.2,no
2/18/2025,Vivia,47408,Training,Computer Systems Analyst II,Female,Fix San,23.5,5,4,5.9,6.3,0,4,1.6,0.3,0.8,13,1.5,no
10/3/2024,Marrissa,3391,Engineering,Chemical Engineer,Female,Bigtax,3.2,2,4,6.0,2.9,8,0,1.2,3.0,2.9,7,1.7,yes
3/14/2025,Philippe,0982,Research and Development,Analog Circuit Design manager,Female,Rank,25.4,2,3,6.4,3.5,0,0,1.8,4.7,3.5,15,4.3,yes
7/14/2024,Prinz,4413,Services,Actuary,Male,Domainer,27.9,2,4,5.3,4.2,1,0,0.8,3.7,2.7,20,4.2,yes
4/6/2025,Viv,741,Sales,Executive Secretary,Female,Vagram,22.2,3,3,3.6,0.7,3,0,1.2,6.7,0.5,18,4.4,yes
9/16/2024,Dukie,73,Legal,Administrative Officer,Male,Span,20.0,1,1,4.2,1.6,0,3,1.6,7.7,3.6,5,4.7,no
8/23/2024,Baxter,1320,Support,Assistant Manager,Male,Flowdesk,17.9,1,4,6.3,4.9,1,4,1.9,3.7,2.5,1,4.0,yes
5/13/2025,Alfonso,2,Human Resources,Pharmacist,Male,Pannier,25.1,3,3,7.5,1.2,7,2,0.7,14.9,2.9,10,2.2,yes
6/16/2024,Akim,63,Business Development,Quality Control Specialist,Male,Alphazap,3.8,1,3,6.9,7.2,7,4,1.9,13.6,1.7,1,1.5,no
12/15/2024,Dagny,2,Research and Development,Administrative Officer,Male,Bigtax,27.9,2,4,1.0,3.3,5,3,1.5,5.6,4.6,6,4.1,no
1/31/2025,Lowell,8165,Legal,Product Engineer,Male,Zontrax,20.4,3,1,4.7,0.5,7,2,1.7,6.0,1.0,15,1.9,yes
9/29/2024,Ethelind,9,Services,Research Nurse,Polygender,Andalax,26.8,3,1,0.9,0.9,6,2,1.0,7.6,0.1,15,1.1,yes
2/26/2025,Lazare,6693,Training,Information Systems Manager,Male,Pannier,26.9,4,2,8.0,6.0,8,2,0.8,14.3,1.7,20,4.9,no
4/21/2025,Job,297,Product Management,Safety Technician II,Male,Konklux,3.7,1,3,2.3,6.8,5,0,1.7,2.5,3.9,12,2.7,yes
7/19/2024,Amble,8,Human Resources,Environmental Tech,Male,Quo Lux,18.1,3,3,5.6,4.2,5,4,1.6,5.1,2.3,3,2.5,yes
11/5/2024,Farr,013,Training,Environmental Tech,Male,Konklux,25.8,1,3,4.5,4.9,8,2,1.4,8.6,2.9,4,4.7,no
11/21/2024,Claribel,440,Research and Development,Computer Systems Analyst I,Female,Tin,6.8,3,5,4.5,2.1,2,0,1.6,14.9,2.5,0,2.0,no
3/11/2025,Yulma,710,Services,Geological Engineer,Male,Zathin,25.6,2,1,1.3,1.4,4,0,0.6,0.5,0.2,0,2.6,no
6/19/2024,Jamil,43770,Training,Paralegal,Male,Asoka,24.5,3,1,1.8,3.2,10,0,0.6,14.1,0.6,4,3.1,no
3/29/2025,Trstram,7,Support,Executive Secretary,Male,Asoka,20.0,2,1,1.4,0.1,9,4,1.3,14.2,5.0,8,4.7,no
